COUNTY,POP1990,MIDDLE1990,HS1990,COLLEGE1990,BACHELOR1990,GRADUATE1990,MIDDLE1990,HS1990,COLLEGE1990,BACHELOR1990,GRADUATE1990
Eureka ,1003,249,754,406,136,20,0.248255234,0.751744766,0.404785643,0.13559322,0.019940179
Humboldt ,7745,1894,5851,3143,943,217,0.244544868,0.755455132,0.4058102,0.121755972,0.028018076
Lander ,3556,954,2602,1095,383,112,0.268278965,0.731721035,0.307930259,0.107705287,0.031496063
Lincoln ,2287,513,1774,1031,300,99,0.224311325,0.775688675,0.45080892,0.131176213,0.04328815
Lyon ,13333,3307,10026,4918,1248,323,0.248031201,0.751968799,0.368859221,0.09360234,0.024225606
Mineral ,4109,1106,3003,1482,372,93,0.269165247,0.730834753,0.360671696,0.090532976,0.022633244
Nye ,12263,3048,9215,4580,1161,349,0.248552556,0.751447444,0.373481204,0.094675039,0.028459594
Pershing ,2644,710,1934,780,191,50,0.268532526,0.731467474,0.295007564,0.072239032,0.018910741
Storey ,1787,278,1509,873,315,105,0.155567991,0.844432009,0.48852826,0.176273083,0.058757694
Washoe ,169341,29661,139680,92403,35125,11696,0.175155456,0.824844544,0.545662303,0.207421711,0.069067739
White Pine ,5971,1605,4366,2367,681,197,0.268799196,0.731200804,0.396416011,0.114051248,0.032992799
Carson City,28063,4848,23215,14534,4578,1699,0.17275416,0.82724584,0.51790614,0.163132951,0.060542351
Belknap ,32809,6437,26372,15119,6716,2016,0.196196166,0.803803834,0.460818678,0.20469993,0.061446554
Carroll ,24618,4052,20566,12489,5754,1619,0.164595012,0.835404988,0.507311723,0.233731416,0.065764887
Cheshire ,44193,8494,35699,20609,10557,3585,0.192202385,0.807797615,0.466340823,0.238883986,0.081121445
Coos ,23406,7028,16378,6679,2567,845,0.300264889,0.699735111,0.285354183,0.109672733,0.036101854
Grafton ,45960,8570,37390,22213,12123,4776,0.186466493,0.813533507,0.483311575,0.263772846,0.103916449
Hillsborough ,215914,38449,177465,115743,56957,17927,0.17807553,0.82192447,0.536060654,0.263794844,0.083028428
Merrimack ,78633,13226,65407,40197,19952,6834,0.168199102,0.831800898,0.511197589,0.253735709,0.086910076
Rockingham ,159886,22053,137833,88009,41457,12871,0.137929525,0.862070475,0.550448445,0.259290995,0.080501107
Strafford ,62963,12730,50233,29584,13655,4786,0.202182234,0.797817766,0.469863253,0.216873402,0.076012896
Sullivan ,25512,6384,19128,9562,4203,1422,0.250235183,0.749764817,0.374804014,0.164746002,0.055738476
Atlantic ,149789,40617,109172,58108,24600,6553,0.271161434,0.728838566,0.387932358,0.164231018,0.043748206
Bergen ,583985,107514,476471,306428,185138,69184,0.184104044,0.815895956,0.524718957,0.317025266,0.118468796
Burlington ,255060,46128,208932,124203,60237,18574,0.180851564,0.819148436,0.48695601,0.23616796,0.072822081
Camden ,321621,78908,242713,134063,67608,22410,0.245344676,0.754655324,0.416835343,0.210210154,0.069678286
Cape May ,65916,17117,48799,25012,11364,3360,0.259678985,0.740321015,0.379452637,0.172401238,0.050973967
Cumberland ,88609,32431,56178,25138,9601,2784,0.366001196,0.633998804,0.283695787,0.108352425,0.03141893
Essex ,506226,151567,354659,214152,121557,47278,0.299405799,0.700594201,0.423036351,0.240123976,0.093393069
Gloucester ,145019,32655,112364,57865,26272,7314,0.225177391,0.774822609,0.399016681,0.181162468,0.050434771
Hudson ,372106,133748,238358,133019,73396,23709,0.359435215,0.640564785,0.357476096,0.197244871,0.063715715
Hunterdon ,72699,10239,62460,41418,25162,8998,0.140841002,0.859158998,0.569718978,0.346112051,0.123770616
Mercer ,214314,49085,165229,106809,63240,27058,0.229033101,0.770966899,0.498376214,0.295081049,0.126254001
Middlesex ,447679,92277,355402,212000,118573,42719,0.206123137,0.793876863,0.473553595,0.264861653,0.095423283
Monmouth ,368859,63296,305563,195091,104882,39467,0.171599446,0.828400554,0.528903999,0.284341713,0.106997525
Morris ,284434,36987,247447,170016,104392,38053,0.130037197,0.869962803,0.597734448,0.367016601,0.133784991
Ocean ,301185,75652,225533,112355,46150,14346,0.251181168,0.748818832,0.373043146,0.153228082,0.047631854
Passaic ,294620,92018,202602,107846,55117,17538,0.312327744,0.687672256,0.366051185,0.18707827,0.059527527
Salem ,42815,11748,31067,14391,5044,1424,0.274389817,0.725610183,0.336120519,0.117809179,0.033259372
Somerset ,167616,22904,144712,100486,64270,25130,0.136645666,0.863354334,0.599501241,0.383435949,0.149926021
Sussex ,83589,12496,71093,42160,20841,6393,0.149493354,0.850506646,0.504372585,0.249327065,0.076481355
Union ,339266,84173,255093,149273,84663,31418,0.248103258,0.751896742,0.439988092,0.249547553,0.092605802
Warren ,60826,13646,47180,24639,11910,3420,0.224344853,0.775655147,0.405073488,0.195804426,0.056225956
Bernalillo ,306632,54957,251675,166736,81819,33654,0.179227869,0.820772131,0.543765817,0.26683125,0.109753711
Catron ,1717,459,1258,722,321,127,0.267326733,0.732673267,0.420500874,0.18695399,0.07396622
Chaves ,34723,11368,23355,13876,4952,1897,0.327391066,0.672608934,0.399619849,0.142614405,0.054632376
Cibola ,13583,4525,9058,3900,1197,438,0.333137009,0.666862991,0.28712361,0.088124862,0.03224619
Colfax ,8329,2407,5922,3102,1225,407,0.288990275,0.711009725,0.372433666,0.14707648,0.04886541
Curry ,24597,5951,18646,11133,3371,1241,0.241940074,0.758059926,0.452616173,0.137049234,0.050453307
DeBaca ,1559,577,982,460,178,49,0.370109044,0.629890956,0.295060936,0.114175754,0.031430404
Dona Ana ,75367,22276,53091,34947,16476,6168,0.295567025,0.704432975,0.463691005,0.218610267,0.081839532
Eddy ,30216,9886,20330,10336,3286,1181,0.327177654,0.672822346,0.342070426,0.108750331,0.039085253
Grant ,16811,4956,11855,7127,2760,1164,0.294806972,0.705193028,0.423948605,0.164178217,0.069240378
