COUNTY,Less Than High School,High School Graduate or more (includes equivalency),Some college or more,Bachelor's degree or more,Master's degree or more,Professional school degree or more,Doctorate degree,% Less Than High School,% High School Graduate or more (includes equivalency),% Some college or more,% Bachelor's degree or more,% Master's degree or more,% Professional school degree or more,% Doctorate degree,Households,"Household Income: Less than $10,000","Household Income: $10,000 to $14,999","Household Income: $15,000 to $19,999","Household Income: $20,000 to $24,999","Household Income: $25,000 to $29,999","Household Income: $30,000 to $34,999","Household Income: $35,000 to $39,999","Household Income: $40,000 to $44,999","Household Income: $45,000 to $49,999","Household Income: $50,000 to $59,999","Household Income: $60,000 to $74,999","Household Income: $75,000 to $99,999","Household Income: $100,000 to $124,999","Household Income: $125,000 to $149,999","Household Income: $150,000 to $199,999","Household Income: $200,000 or more","% Household Income: Less than $10,000","% Household Income: $10,000 to $14,999","% Household Income: $15,000 to $19,999","% Household Income: $20,000 to $24,999","% Household Income: $25,000 to $29,999","% Household Income: $30,000 to $34,999","% Household Income: $35,000 to $39,999","% Household Income: $40,000 to $44,999","% Household Income: $45,000 to $49,999","% Household Income: $50,000 to $59,999","% Household Income: $60,000 to $74,999","% Household Income: $75,000 to $99,999","% Household Income: $100,000 to $124,999","% Household Income: $125,000 to $149,999","% Household Income: $150,000 to $199,999","% Household Income: $200,000 or more"
,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Education,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Franklin  ,96422,579896,396609,215180,72127,25746,9385,14.26,85.74,58.64,31.82,10.66,3.81,1.39,438876,39230,24511,24856,29018,29114,29715,27736,24518,21855,42793,48856,46042,22995,10179,8803,8655,8.94,5.58,5.66,6.61,6.63,6.77,6.32,5.59,4.98,9.75,11.13,10.49,5.24,2.32,2.01,1.97
Fulton  ,3965,22922,11084,3539,1022,299,47,14.75,85.25,41.22,13.16,3.8,1.11,0.17,15456,827,751,803,899,1238,1243,1045,1098,900,1779,2038,1757,608,210,131,129,5.35,4.86,5.2,5.82,8.01,8.04,6.76,7.1,5.82,11.51,13.19,11.37,3.93,1.36,0.85,0.83
Gallia  ,5306,14901,6477,2352,931,435,130,26.26,73.74,32.05,11.64,4.61,2.15,0.64,12091,1688,1370,1017,1087,844,917,844,743,521,999,751,717,348,69,89,87,13.96,11.33,8.41,8.99,6.98,7.58,6.98,6.15,4.31,8.26,6.21,5.93,2.88,0.57,0.74,0.72
Geauga  ,8099,51117,34483,18795,6999,2143,554,13.68,86.32,58.23,31.74,11.82,3.62,0.94,31639,1008,1270,1087,1373,1578,1520,1806,1435,1561,3107,4007,4692,2589,1502,1541,1563,3.19,4.01,3.44,4.34,4.99,4.8,5.71,4.54,4.93,9.82,12.66,14.83,8.18,4.75,4.87,4.94
Greene  ,11229,81185,54412,28737,12876,3273,1659,12.15,87.85,58.88,31.1,13.93,3.54,1.8,55298,4134,2679,2753,3029,3275,3208,3280,3181,2758,5310,6848,7251,3522,1842,1264,964,7.48,4.84,4.98,5.48,5.92,5.8,5.93,5.75,4.99,9.6,12.38,13.11,6.37,3.33,2.29,1.74
Guernsey  ,5786,21053,8653,2690,1056,396,121,21.56,78.44,32.24,10.02,3.93,1.48,0.45,16119,2032,1495,1639,1494,1368,1307,1113,873,781,1378,1316,724,309,105,74,111,12.61,9.27,10.17,9.27,8.49,8.11,6.9,5.42,4.85,8.55,8.16,4.49,1.92,0.65,0.46,0.69
Hamilton  ,94207,451841,300082,159212,58166,18991,6521,17.25,82.75,54.96,29.16,10.65,3.48,1.19,346831,36701,21729,22192,23924,22581,21886,20231,18741,16089,29853,35103,33526,17340,8389,8261,10285,10.58,6.27,6.4,6.9,6.51,6.31,5.83,5.4,4.64,8.61,10.12,9.67,5,2.42,2.38,2.97
Hancock  ,5308,40563,21926,9932,3404,970,391,11.57,88.43,47.8,21.65,7.42,2.11,0.85,27906,1714,1461,1789,1979,2087,1829,1758,1669,1738,3180,3178,3010,1252,508,347,407,6.14,5.24,6.41,7.09,7.48,6.55,6.3,5.98,6.23,11.4,11.39,10.79,4.49,1.82,1.24,1.46
Hardin  ,3738,15482,5792,2192,847,290,119,19.45,80.55,30.14,11.4,4.41,1.51,0.62,11995,1519,860,920,988,854,954,766,732,649,1206,1226,789,303,87,30,112,12.66,7.17,7.67,8.24,7.12,7.95,6.39,6.1,5.41,10.05,10.22,6.58,2.53,0.73,0.25,0.93
Harrison  ,2266,8831,3322,1004,333,116,35,20.42,79.58,29.94,9.05,3,1.05,0.32,6404,750,601,647,550,616,528,371,448,375,485,450,320,106,33,55,69,11.71,9.38,10.1,8.59,9.62,8.24,5.79,7,5.86,7.57,7.03,5,1.66,0.52,0.86,1.08
Henry  ,3103,15730,6328,2082,545,180,5,16.48,83.52,33.6,11.06,2.89,0.96,0.03,10982,618,537,785,760,752,845,827,665,820,1182,1455,1083,365,107,114,67,5.63,4.89,7.15,6.92,6.85,7.69,7.53,6.06,7.47,10.76,13.25,9.86,3.32,0.97,1.04,0.61
Highland  ,6238,20134,8312,2550,1030,312,83,23.65,76.35,31.52,9.67,3.91,1.18,0.31,15607,1719,1286,1125,1316,1059,1229,1191,1035,810,1498,1412,1199,376,129,72,151,11.01,8.24,7.21,8.43,6.79,7.87,7.63,6.63,5.19,9.6,9.05,7.68,2.41,0.83,0.46,0.97
Hocking  ,4119,14601,5951,1838,687,194,46,22,78,31.79,9.82,3.67,1.04,0.25,10816,1359,758,825,988,760,820,709,717,640,1086,1059,601,245,125,56,68,12.56,7.01,7.63,9.13,7.03,7.58,6.56,6.63,5.92,10.04,9.79,5.56,2.27,1.16,0.52,0.63
Holmes  ,10185,10831,4069,1736,508,200,32,48.46,51.54,19.36,8.26,2.42,0.95,0.15,11354,949,693,664,921,974,1056,973,859,608,1316,956,585,326,114,171,189,8.36,6.1,5.85,8.11,8.58,9.3,8.57,7.57,5.35,11.59,8.42,5.15,2.87,1,1.51,1.66
Huron  ,7123,30453,12133,4102,1240,526,68,18.96,81.04,32.29,10.92,3.3,1.4,0.18,22258,1512,1307,1510,1762,1580,1751,1521,1444,1360,2624,2706,1915,720,255,93,198,6.79,5.87,6.78,7.92,7.1,7.87,6.83,6.49,6.11,11.79,12.16,8.6,3.23,1.15,0.42,0.89
Jackson  ,5648,15658,6472,2339,834,219,59,26.51,73.49,30.38,10.98,3.91,1.03,0.28,12651,2073,1036,1024,1030,1016,1009,843,806,603,1179,821,875,162,83,26,65,16.39,8.19,8.09,8.14,8.03,7.98,6.66,6.37,4.77,9.32,6.49,6.92,1.28,0.66,0.21,0.51
