Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
21601,549,1535,1539,1421,1637,1476,2026,1730,1728,1410,1409,1137,1783,777,830,476,138,2.54,7.11,7.12,6.58,7.58,6.83,9.38,8.01,8,6.53,6.52,5.26,8.25,3.6,3.84,2.2,0.64
29683,1691,4011,3571,2741,2887,2325,2221,1748,1742,1491,1330,845,1325,604,622,377,152,5.7,13.51,12.03,9.23,9.73,7.83,7.48,5.89,5.87,5.02,4.48,2.85,4.46,2.03,2.1,1.27,0.51
20790,744,1358,1530,1584,1756,1644,1761,1856,1896,1357,1304,1012,1283,717,620,258,110,3.58,6.53,7.36,7.62,8.45,7.91,8.47,8.93,9.12,6.53,6.27,4.87,6.17,3.45,2.98,1.24,0.53
14251,471,1046,888,1072,1297,978,1378,1204,1196,1005,858,686,928,444,425,242,133,3.31,7.34,6.23,7.52,9.1,6.86,9.67,8.45,8.39,7.05,6.02,4.81,6.51,3.12,2.98,1.7,0.93
134036,4604,10002,9365,9664,10009,8502,10467,9835,11103,9246,8840,6907,9760,5827,5657,3055,1193,3.43,7.46,6.99,7.21,7.47,6.34,7.81,7.34,8.28,6.9,6.6,5.15,7.28,4.35,4.22,2.28,0.89
189876,6635,15378,13059,14025,14331,12858,14041,13085,14142,11669,11599,8695,14132,8775,9452,5640,2360,3.49,8.1,6.88,7.39,7.55,6.77,7.39,6.89,7.45,6.15,6.11,4.58,7.44,4.62,4.98,2.97,1.24
84037,2680,6084,5493,5748,5663,5219,6237,6011,6870,5337,5338,4331,6951,4468,4300,2380,927,3.19,7.24,6.54,6.84,6.74,6.21,7.42,7.15,8.17,6.35,6.35,5.15,8.27,5.32,5.12,2.83,1.1
30516,1057,2712,2728,2464,2788,2399,2612,2424,2547,2000,1703,1223,1627,861,771,448,152,3.46,8.89,8.94,8.07,9.14,7.86,8.56,7.94,8.35,6.55,5.58,4.01,5.33,2.82,2.53,1.47,0.5
10030,425,698,642,620,801,776,1071,823,734,602,576,436,611,501,401,273,40,4.24,6.96,6.4,6.18,7.99,7.74,10.68,8.21,7.32,6,5.74,4.35,6.09,5,4,2.72,0.4
10949,357,782,699,789,813,925,955,895,997,774,695,503,781,428,314,188,54,3.26,7.14,6.38,7.21,7.43,8.45,8.72,8.17,9.11,7.07,6.35,4.59,7.13,3.91,2.87,1.72,0.49
3913,238,539,489,395,397,312,291,299,282,142,122,111,138,60,54,36,8,6.08,13.77,12.5,10.09,10.15,7.97,7.44,7.64,7.21,3.63,3.12,2.84,3.53,1.53,1.38,0.92,0.2
31677,866,1568,1804,1910,2097,1945,2346,2424,2857,2276,2551,1693,2930,1676,1645,839,250,2.73,4.95,5.69,6.03,6.62,6.14,7.41,7.65,9.02,7.19,8.05,5.34,9.25,5.29,5.19,2.65,0.79
22297,902,1965,1794,1728,2048,1766,1991,1854,1702,1312,1222,950,1354,609,587,380,133,4.05,8.81,8.05,7.75,9.19,7.92,8.93,8.32,7.63,5.88,5.48,4.26,6.07,2.73,2.63,1.7,0.6
32181,1007,2069,2107,2262,2641,2643,2813,2675,2551,2135,2004,1644,2129,1337,1148,718,298,3.13,6.43,6.55,7.03,8.21,8.21,8.74,8.31,7.93,6.63,6.23,5.11,6.62,4.15,3.57,2.23,0.93
12887,420,966,982,918,1068,948,1114,1041,1046,1005,851,552,859,369,360,307,81,3.26,7.5,7.62,7.12,8.29,7.36,8.64,8.08,8.12,7.8,6.6,4.28,6.67,2.86,2.79,2.38,0.63
35367,1060,2575,2479,2431,2763,2240,2664,2714,2653,2138,2198,1863,2685,1694,1683,1073,454,3,7.28,7.01,6.87,7.81,6.33,7.53,7.67,7.5,6.05,6.21,5.27,7.59,4.79,4.76,3.03,1.28
7855,339,552,604,649,707,731,686,652,628,502,491,276,463,237,181,120,37,4.32,7.03,7.69,8.26,9,9.31,8.73,8.3,7.99,6.39,6.25,3.51,5.89,3.02,2.3,1.53,0.47
