Households,"Households: Less than $5,000","Households: $5,000 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $32,499","Households: $32,500 to $34,999","Households: $35,000 to $37,499","Households: $37,500 to $39,999","Households: $40,000 to $42,499","Households: $42,500 to $44,999","Households: $45,000 to $47,499","Households: $47,500 to $49,999","Households: $50,000 to $54,999","Households: $55,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 or more","% Households: Less than $5,000","% Households: $5,000 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $32,499","% Households: $32,500 to $34,999","% Households: $35,000 to $37,499","% Households: $37,500 to $39,999","% Households: $40,000 to $42,499","% Households: $42,500 to $44,999","% Households: $45,000 to $47,499","% Households: $47,500 to $49,999","% Households: $50,000 to $54,999","% Households: $55,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 or more"
23211,1258,2596,1283,1070,1088,1148,1326,1125,1337,1003,1204,937,914,774,761,690,593,461,901,690,1154,530,108,62,198,5.42,11.18,5.53,4.61,4.69,4.95,5.71,4.85,5.76,4.32,5.19,4.04,3.94,3.33,3.28,2.97,2.55,1.99,3.88,2.97,4.97,2.28,0.47,0.27,0.85
41850,1118,2205,1390,1324,1495,1249,1545,1527,1771,1590,1883,1663,1815,1502,1835,1512,1498,1200,2645,2112,4635,2791,798,329,418,2.67,5.27,3.32,3.16,3.57,2.98,3.69,3.65,4.23,3.8,4.5,3.97,4.34,3.59,4.38,3.61,3.58,2.87,6.32,5.05,11.08,6.67,1.91,0.79,1
8667,1226,1364,626,460,618,476,357,442,352,247,320,195,333,194,221,230,177,108,203,167,235,57,22,16,21,14.15,15.74,7.22,5.31,7.13,5.49,4.12,5.1,4.06,2.85,3.69,2.25,3.84,2.24,2.55,2.65,2.04,1.25,2.34,1.93,2.71,0.66,0.25,0.18,0.24
13448,510,1074,659,552,716,563,716,637,703,701,666,654,557,563,533,507,460,412,588,355,763,342,57,45,115,3.79,7.99,4.9,4.1,5.32,4.19,5.32,4.74,5.23,5.21,4.95,4.86,4.14,4.19,3.96,3.77,3.42,3.06,4.37,2.64,5.67,2.54,0.42,0.33,0.86
34616,1431,2903,1314,1255,1630,1680,1800,1404,1629,1433,1454,1561,1549,1278,1440,1186,1066,802,1875,1269,2233,1487,395,169,373,4.13,8.39,3.8,3.63,4.71,4.85,5.2,4.06,4.71,4.14,4.2,4.51,4.47,3.69,4.16,3.43,3.08,2.32,5.42,3.67,6.45,4.3,1.14,0.49,1.08
5731,662,831,448,269,362,232,372,184,210,216,291,203,212,164,244,126,122,86,178,89,112,93,12,0,13,11.55,14.5,7.82,4.69,6.32,4.05,6.49,3.21,3.66,3.77,5.08,3.54,3.7,2.86,4.26,2.2,2.13,1.5,3.11,1.55,1.95,1.62,0.21,0,0.23
226115,14505,19806,10111,9110,9972,10252,11161,8878,10156,8652,10229,8133,9195,7297,8554,6799,6920,5319,10166,8060,15732,10258,3133,1228,2489,6.41,8.76,4.47,4.03,4.41,4.53,4.94,3.93,4.49,3.83,4.52,3.6,4.07,3.23,3.78,3.01,3.06,2.35,4.5,3.56,6.96,4.54,1.39,0.54,1.1
5201,536,688,342,321,322,258,239,223,270,258,253,190,147,196,148,112,128,90,98,76,212,64,13,7,10,10.31,13.23,6.58,6.17,6.19,4.96,4.6,4.29,5.19,4.96,4.86,3.65,2.83,3.77,2.85,2.15,2.46,1.73,1.88,1.46,4.08,1.23,0.25,0.13,0.19
9614,400,811,517,425,565,517,557,479,578,434,518,371,418,388,426,329,356,243,390,282,379,128,69,14,20,4.16,8.44,5.38,4.42,5.88,5.38,5.79,4.98,6.01,4.51,5.39,3.86,4.35,4.04,4.43,3.42,3.7,2.53,4.06,2.93,3.94,1.33,0.72,0.15,0.21
30763,2047,4038,1870,1783,1516,1626,1721,1330,1467,1292,1389,1335,1192,875,1006,850,805,613,1066,699,1229,572,188,81,173,6.65,13.13,6.08,5.8,4.93,5.29,5.59,4.32,4.77,4.2,4.52,4.34,3.87,2.84,3.27,2.76,2.62,1.99,3.47,2.27,4,1.86,0.61,0.26,0.56
