COUNTY,Population over 25 years old,Middle School,High School,College,% Middle School,% High School,% College,Number of Households,"Households: Less than $2,500","Households: $2,500 to $4,999","Households: $5,000 to $7,499","Households: $7,500 to $9,999","Households: $10,000 to $12,499","Households: $12,500 to $14,999","Households: $15,000 to $17,499","Households: $17,500 to $19,999","Households: $20,000 to $22,499","Households: $22,500 to $24,999","Households: $25,000 to $27,499","Households: $27,500 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $49,999","Households: $50,000 to $74,999","Households: $75,000 or more","% Households: Less than $2,500","% Households: $2,500 to $4,999","% Households: $5,000 to $7,499","% Households: $7,500 to $9,999","% Households: $10,000 to $12,499","% Households: $12,500 to $14,999","% Households: $15,000 to $17,499","% Households: $17,500 to $19,999","% Households: $20,000 to $22,499","% Households: $22,500 to $24,999","% Households: $25,000 to $27,499","% Households: $27,500 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $49,999","% Households: $50,000 to $74,999","% Households: $75,000 or more"
,Education,Education,Education,Education,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Adams  ,13622,4542,9080,1612,0.333431214,0.666568786,0.118337983,8312,740,1263,984,979,797,576,559,548,432,315,299,214,287,124,91,74,30,8.9,15.19,11.84,11.78,9.59,6.93,6.73,6.59,5.2,3.79,3.6,2.57,3.45,1.49,1.09,0.89,0.36
Allen  ,63871,9069,54802,14058,0.141989322,0.858010678,0.220099889,39212,1670,3209,2850,2971,3181,2880,2968,2897,3074,2435,2119,1875,2713,1743,1485,796,346,4.26,8.18,7.27,7.58,8.11,7.34,7.57,7.39,7.84,6.21,5.4,4.78,6.92,4.45,3.79,2.03,0.88
Ashland  ,26416,3532,22884,6240,0.133706844,0.866293156,0.236220472,15917,625,1044,1330,1354,1297,1286,1523,1223,1375,977,902,659,891,581,411,340,99,3.93,6.56,8.36,8.51,8.15,8.08,9.57,7.68,8.64,6.14,5.67,4.14,5.6,3.65,2.58,2.14,0.62
Ashtabula  ,60719,8882,51837,11260,0.146280406,0.853719594,0.185444424,35843,1121,3085,2747,2774,2971,2697,2970,2708,3049,2338,2099,1713,2411,1264,1067,616,213,3.13,8.61,7.66,7.74,8.29,7.52,8.29,7.56,8.51,6.52,5.86,4.78,6.73,3.53,2.98,1.72,0.59
Athens  ,27675,4159,23516,8909,0.150280036,0.849719964,0.321915086,18383,1368,2236,2418,1813,1844,1519,1278,1220,1013,743,670,510,704,395,392,211,49,7.44,12.16,13.15,9.86,10.03,8.26,6.95,6.64,5.51,4.04,3.64,2.77,3.83,2.15,2.13,1.15,0.27
Auglaize  ,24385,3566,20819,4607,0.146237441,0.853762559,0.188927619,14558,424,873,1041,1200,1151,1236,1371,1209,1234,1055,811,638,956,563,471,251,74,2.91,6,7.15,8.24,7.91,8.49,9.42,8.3,8.48,7.25,5.57,4.38,6.57,3.87,3.24,1.72,0.51
Belmont  ,50981,10642,40339,8308,0.208744434,0.791255566,0.162962672,30318,1257,2956,2725,2306,2245,2062,2599,2127,2451,1823,1870,1414,1927,1085,851,531,89,4.15,9.75,8.99,7.61,7.4,6.8,8.57,7.02,8.08,6.01,6.17,4.66,6.36,3.58,2.81,1.75,0.29
Brown  ,18064,4453,13611,2469,0.2465124,0.7534876,0.136680691,10697,587,1091,1085,959,781,847,952,857,869,515,541,361,536,266,232,154,64,5.49,10.2,10.14,8.97,7.3,7.92,8.9,8.01,8.12,4.81,5.06,3.37,5.01,2.49,2.17,1.44,0.6
Butler  ,142747,25498,117249,37785,0.178623719,0.821376281,0.264699083,87930,3285,6480,5639,6174,6072,5157,6242,5896,6704,5756,5600,4614,7041,5206,4700,2709,655,3.74,7.37,6.41,7.02,6.91,5.86,7.1,6.71,7.62,6.55,6.37,5.25,8.01,5.92,5.35,3.08,0.74
Carroll  ,14746,2415,12331,2146,0.163773227,0.836226773,0.145530991,8561,433,664,682,596,800,701,702,707,743,569,438,377,487,230,270,137,25,5.06,7.76,7.97,6.96,9.34,8.19,8.2,8.26,8.68,6.65,5.12,4.4,5.69,2.69,3.15,1.6,0.29
Champaign  ,19687,3260,16427,3453,0.165591507,0.834408493,0.175394931,11795,456,844,819,983,1132,958,1185,1008,928,752,599,498,666,334,352,208,73,3.87,7.16,6.94,8.33,9.6,8.12,10.05,8.55,7.87,6.38,5.08,4.22,5.65,2.83,2.98,1.76,0.62
Clark  ,87839,13750,74089,19760,0.15653639,0.84346361,0.224957024,53503,2145,4948,4245,4153,4288,3751,4372,4122,4172,3491,3097,2157,3476,1900,1811,992,383,4.01,9.25,7.93,7.76,8.01,7.01,8.17,7.7,7.8,6.52,5.79,4.03,6.5,3.55,3.38,1.85,0.72
Clermont  ,69648,12725,56923,15342,0.182704457,0.817295543,0.220279118,41913,1153,2440,2458,2447,2903,2646,3394,3380,3639,3040,2963,2378,3798,2121,1975,950,228,2.75,5.82,5.86,5.84,6.93,6.31,8.1,8.06,8.68,7.25,7.07,5.67,9.06,5.06,4.71,2.27,0.54
Clinton  ,19776,3526,16250,4109,0.178296926,0.821703074,0.207777104,12139,527,1129,1008,1008,1250,962,1000,822,898,714,652,492,624,379,371,241,62,4.34,9.3,8.3,8.3,10.3,7.92,8.24,6.77,7.4,5.88,5.37,4.05,5.14,3.12,3.06,1.99,0.51
Columbiana  ,67279,12106,55173,12602,0.179937276,0.820062724,0.187309562,40123,1289,3916,3226,3126,3223,3005,3307,2843,3304,2591,2499,1798,2740,1269,1143,640,204,3.21,9.76,8.04,7.79,8.03,7.49,8.24,7.09,8.23,6.46,6.23,4.48,6.83,3.16,2.85,1.6,0.51
Coshocton  ,21488,3608,17880,3692,0.167907669,0.832092331,0.171816828,13052,507,1115,1309,1129,1144,960,1069,921,969,772,755,519,791,368,435,228,61,3.88,8.54,10.03,8.65,8.76,7.36,8.19,7.06,7.42,5.91,5.78,3.98,6.06,2.82,3.33,1.75,0.47
Crawford  ,29467,4746,24721,5128,0.161061526,0.838938474,0.174025181,18093,676,1578,1552,1425,1820,1339,1434,1428,1438,1164,996,773,1029,552,527,258,104,3.74,8.72,8.58,7.88,10.06,7.4,7.93,7.89,7.95,6.43,5.5,4.27,5.69,3.05,2.91,1.43,0.57
Cuyahoga  ,925799,134657,791142,277004,0.145449498,0.854550502,0.299205335,563277,27819,50402,40232,39013,41664,35431,39816,35649,39473,31204,29169,25531,40975,27682,29707,20581,8929,4.94,8.95,7.14,6.93,7.4,6.29,7.07,6.33,7.01,5.54,5.18,4.53,7.27,4.91,5.27,3.65,1.59
